timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/06/02 00:57:22.947, 0, 0 %, 0 %, 165 MiB, 34.06 W
2026/06/02 00:57:22.948, 1, 0 %, 0 %, 18 MiB, 29.81 W
2026/06/02 00:57:23.948, 0, 0 %, 0 %, 165 MiB, 33.83 W
2026/06/02 00:57:23.949, 1, 0 %, 0 %, 18 MiB, 29.44 W
2026/06/02 00:57:24.950, 0, 0 %, 0 %, 602 MiB, 45.15 W
2026/06/02 00:57:24.950, 1, 0 %, 0 %, 18 MiB, 29.47 W
2026/06/02 00:57:25.951, 0, 38 %, 18 %, 1802 MiB, 112.15 W
2026/06/02 00:57:25.951, 1, 0 %, 0 %, 18 MiB, 29.57 W
2026/06/02 00:57:26.952, 0, 36 %, 24 %, 1802 MiB, 195.60 W
2026/06/02 00:57:26.953, 1, 0 %, 0 %, 18 MiB, 29.88 W
2026/06/02 00:57:27.953, 0, 35 %, 24 %, 1802 MiB, 189.43 W
2026/06/02 00:57:27.954, 1, 0 %, 0 %, 18 MiB, 30.25 W
2026/06/02 00:57:28.955, 0, 35 %, 24 %, 1802 MiB, 184.21 W
2026/06/02 00:57:28.956, 1, 0 %, 0 %, 18 MiB, 30.06 W
2026/06/02 00:57:29.956, 0, 36 %, 25 %, 1802 MiB, 190.47 W
2026/06/02 00:57:29.957, 1, 0 %, 0 %, 18 MiB, 30.34 W
2026/06/02 00:57:30.958, 0, 37 %, 24 %, 1802 MiB, 168.42 W
2026/06/02 00:57:30.958, 1, 0 %, 0 %, 18 MiB, 30.19 W
2026/06/02 00:57:31.959, 0, 37 %, 24 %, 1802 MiB, 163.66 W
2026/06/02 00:57:31.960, 1, 0 %, 0 %, 18 MiB, 29.81 W
2026/06/02 00:57:32.961, 0, 30 %, 20 %, 1802 MiB, 164.33 W
2026/06/02 00:57:32.961, 1, 0 %, 0 %, 18 MiB, 29.33 W
2026/06/02 00:57:33.962, 0, 36 %, 24 %, 1802 MiB, 165.84 W
2026/06/02 00:57:33.962, 1, 0 %, 0 %, 18 MiB, 29.17 W
2026/06/02 00:57:34.963, 0, 36 %, 24 %, 1802 MiB, 166.51 W
2026/06/02 00:57:34.964, 1, 0 %, 0 %, 18 MiB, 29.23 W
2026/06/02 00:57:35.964, 0, 37 %, 24 %, 1802 MiB, 167.76 W
2026/06/02 00:57:35.965, 1, 0 %, 0 %, 18 MiB, 29.26 W
2026/06/02 00:57:36.966, 0, 37 %, 25 %, 1802 MiB, 167.41 W
2026/06/02 00:57:36.966, 1, 0 %, 0 %, 18 MiB, 29.26 W
2026/06/02 00:57:37.967, 0, 37 %, 24 %, 1802 MiB, 165.92 W
2026/06/02 00:57:37.968, 1, 0 %, 0 %, 18 MiB, 29.32 W
2026/06/02 00:57:38.969, 0, 36 %, 23 %, 1802 MiB, 165.96 W
2026/06/02 00:57:38.969, 1, 0 %, 0 %, 18 MiB, 29.38 W
2026/06/02 00:57:39.970, 0, 29 %, 19 %, 1802 MiB, 166.09 W
2026/06/02 00:57:39.971, 1, 0 %, 0 %, 18 MiB, 29.41 W
2026/06/02 00:57:40.972, 0, 37 %, 24 %, 1802 MiB, 169.79 W
2026/06/02 00:57:40.973, 1, 0 %, 0 %, 18 MiB, 29.37 W
2026/06/02 00:57:41.973, 0, 37 %, 24 %, 1802 MiB, 167.19 W
2026/06/02 00:57:41.974, 1, 0 %, 0 %, 18 MiB, 29.36 W
2026/06/02 00:57:42.975, 0, 37 %, 24 %, 1802 MiB, 166.82 W
2026/06/02 00:57:42.976, 1, 0 %, 0 %, 18 MiB, 29.23 W
2026/06/02 00:57:43.977, 0, 38 %, 25 %, 1802 MiB, 170.76 W
2026/06/02 00:57:43.978, 1, 0 %, 0 %, 18 MiB, 29.28 W
2026/06/02 00:57:44.978, 0, 51 %, 26 %, 1802 MiB, 180.48 W
2026/06/02 00:57:44.979, 1, 0 %, 0 %, 18 MiB, 29.92 W
2026/06/02 00:57:45.980, 0, 35 %, 24 %, 1802 MiB, 193.68 W
2026/06/02 00:57:45.980, 1, 0 %, 0 %, 18 MiB, 30.20 W
2026/06/02 00:57:46.981, 0, 38 %, 25 %, 1802 MiB, 187.03 W
2026/06/02 00:57:46.982, 1, 0 %, 0 %, 18 MiB, 30.40 W
2026/06/02 00:57:47.982, 0, 37 %, 24 %, 1802 MiB, 168.33 W
2026/06/02 00:57:47.983, 1, 0 %, 0 %, 18 MiB, 29.95 W
2026/06/02 00:57:48.984, 0, 37 %, 24 %, 1802 MiB, 168.04 W
2026/06/02 00:57:48.984, 1, 0 %, 0 %, 18 MiB, 29.53 W
2026/06/02 00:57:49.985, 0, 31 %, 21 %, 1802 MiB, 168.07 W
2026/06/02 00:57:49.986, 1, 0 %, 0 %, 18 MiB, 29.44 W
2026/06/02 00:57:50.987, 0, 37 %, 24 %, 1802 MiB, 170.45 W
2026/06/02 00:57:50.988, 1, 0 %, 0 %, 18 MiB, 29.47 W
2026/06/02 00:57:51.988, 0, 37 %, 24 %, 1802 MiB, 168.35 W
2026/06/02 00:57:51.989, 1, 0 %, 0 %, 18 MiB, 29.41 W
2026/06/02 00:57:52.990, 0, 37 %, 24 %, 1802 MiB, 169.32 W
2026/06/02 00:57:52.991, 1, 0 %, 0 %, 18 MiB, 28.99 W
2026/06/02 00:57:53.992, 0, 38 %, 25 %, 1802 MiB, 167.76 W
2026/06/02 00:57:53.993, 1, 0 %, 0 %, 18 MiB, 28.91 W
2026/06/02 00:57:54.994, 0, 37 %, 24 %, 1802 MiB, 167.92 W
2026/06/02 00:57:54.995, 1, 0 %, 0 %, 18 MiB, 28.85 W
2026/06/02 00:57:55.996, 0, 37 %, 24 %, 1802 MiB, 167.76 W
2026/06/02 00:57:55.997, 1, 0 %, 0 %, 18 MiB, 28.88 W
2026/06/02 00:57:56.998, 0, 30 %, 20 %, 1802 MiB, 167.52 W
2026/06/02 00:57:56.998, 1, 0 %, 0 %, 18 MiB, 29.06 W
2026/06/02 00:57:57.999, 0, 37 %, 24 %, 1802 MiB, 169.81 W
2026/06/02 00:57:58.000, 1, 0 %, 0 %, 18 MiB, 28.91 W
2026/06/02 00:57:59.001, 0, 37 %, 24 %, 1802 MiB, 168.00 W
2026/06/02 00:57:59.001, 1, 0 %, 0 %, 18 MiB, 28.97 W
2026/06/02 00:58:00.002, 0, 36 %, 24 %, 1802 MiB, 166.94 W
2026/06/02 00:58:00.003, 1, 0 %, 0 %, 18 MiB, 29.14 W
2026/06/02 00:58:01.003, 0, 37 %, 24 %, 1802 MiB, 170.50 W
2026/06/02 00:58:01.004, 1, 0 %, 0 %, 18 MiB, 29.21 W
2026/06/02 00:58:02.005, 0, 37 %, 24 %, 1802 MiB, 166.79 W
2026/06/02 00:58:02.006, 1, 0 %, 0 %, 18 MiB, 29.26 W
2026/06/02 00:58:03.007, 0, 38 %, 25 %, 1802 MiB, 167.43 W
2026/06/02 00:58:03.008, 1, 0 %, 0 %, 18 MiB, 29.19 W
2026/06/02 00:58:04.008, 0, 31 %, 20 %, 1802 MiB, 178.05 W
2026/06/02 00:58:04.009, 1, 0 %, 0 %, 18 MiB, 29.22 W
2026/06/02 00:58:05.010, 0, 36 %, 24 %, 1802 MiB, 205.37 W
2026/06/02 00:58:05.011, 1, 0 %, 0 %, 18 MiB, 29.70 W
2026/06/02 00:58:06.016, 0, 36 %, 25 %, 1802 MiB, 193.26 W
2026/06/02 00:58:06.017, 1, 0 %, 0 %, 18 MiB, 29.85 W
2026/06/02 00:58:07.018, 0, 31 %, 21 %, 1802 MiB, 171.82 W
2026/06/02 00:58:07.018, 1, 0 %, 0 %, 18 MiB, 29.58 W
2026/06/02 00:58:08.019, 0, 38 %, 25 %, 1802 MiB, 170.82 W
2026/06/02 00:58:08.020, 1, 0 %, 0 %, 18 MiB, 29.27 W
2026/06/02 00:58:09.020, 0, 39 %, 25 %, 1802 MiB, 170.46 W
2026/06/02 00:58:09.021, 1, 0 %, 0 %, 18 MiB, 29.08 W
2026/06/02 00:58:10.022, 0, 38 %, 25 %, 1802 MiB, 169.66 W
2026/06/02 00:58:10.027, 1, 0 %, 0 %, 18 MiB, 28.88 W
2026/06/02 00:58:11.028, 0, 39 %, 25 %, 1802 MiB, 170.67 W
2026/06/02 00:58:11.032, 1, 0 %, 0 %, 18 MiB, 28.81 W
2026/06/02 00:58:12.033, 0, 39 %, 26 %, 1802 MiB, 173.65 W
2026/06/02 00:58:12.033, 1, 0 %, 0 %, 18 MiB, 28.80 W
2026/06/02 00:58:13.034, 0, 38 %, 25 %, 1802 MiB, 171.31 W
2026/06/02 00:58:13.034, 1, 0 %, 0 %, 18 MiB, 28.94 W
2026/06/02 00:58:14.035, 0, 38 %, 25 %, 1802 MiB, 170.36 W
2026/06/02 00:58:14.036, 1, 0 %, 0 %, 18 MiB, 28.65 W
2026/06/02 00:58:15.037, 0, 30 %, 20 %, 1802 MiB, 170.38 W
2026/06/02 00:58:15.037, 1, 0 %, 0 %, 18 MiB, 28.75 W
2026/06/02 00:58:16.038, 0, 39 %, 25 %, 1802 MiB, 172.86 W
2026/06/02 00:58:16.039, 1, 0 %, 0 %, 18 MiB, 28.74 W
2026/06/02 00:58:17.039, 0, 38 %, 25 %, 1802 MiB, 170.48 W
2026/06/02 00:58:17.040, 1, 0 %, 0 %, 18 MiB, 28.83 W
2026/06/02 00:58:18.041, 0, 38 %, 25 %, 1802 MiB, 170.89 W
2026/06/02 00:58:18.042, 1, 0 %, 0 %, 18 MiB, 28.93 W
2026/06/02 00:58:19.043, 0, 32 %, 21 %, 1802 MiB, 170.68 W
2026/06/02 00:58:19.044, 1, 0 %, 0 %, 18 MiB, 28.98 W
2026/06/02 00:58:20.045, 0, 39 %, 25 %, 1802 MiB, 169.87 W
2026/06/02 00:58:20.045, 1, 0 %, 0 %, 18 MiB, 28.82 W
2026/06/02 00:58:21.046, 0, 38 %, 25 %, 1802 MiB, 169.79 W
2026/06/02 00:58:21.047, 1, 0 %, 0 %, 18 MiB, 29.19 W
2026/06/02 00:58:22.048, 0, 38 %, 25 %, 1802 MiB, 170.04 W
2026/06/02 00:58:22.048, 1, 0 %, 0 %, 18 MiB, 29.05 W
2026/06/02 00:58:23.049, 0, 36 %, 25 %, 1802 MiB, 193.11 W
2026/06/02 00:58:23.050, 1, 0 %, 0 %, 18 MiB, 29.14 W
2026/06/02 00:58:24.050, 0, 36 %, 25 %, 1802 MiB, 199.48 W
2026/06/02 00:58:24.051, 1, 0 %, 0 %, 18 MiB, 29.69 W
2026/06/02 00:58:25.052, 0, 38 %, 25 %, 1802 MiB, 184.83 W
2026/06/02 00:58:25.052, 1, 0 %, 0 %, 18 MiB, 29.93 W
2026/06/02 00:58:26.053, 0, 31 %, 20 %, 1802 MiB, 170.43 W
2026/06/02 00:58:26.054, 1, 0 %, 0 %, 18 MiB, 28.88 W
2026/06/02 00:58:27.055, 0, 38 %, 25 %, 1802 MiB, 173.21 W
2026/06/02 00:58:27.055, 1, 0 %, 0 %, 18 MiB, 29.24 W
2026/06/02 00:58:28.056, 0, 38 %, 25 %, 1802 MiB, 170.92 W
2026/06/02 00:58:28.057, 1, 0 %, 0 %, 18 MiB, 28.78 W
2026/06/02 00:58:29.058, 0, 37 %, 25 %, 1802 MiB, 169.91 W
2026/06/02 00:58:29.059, 1, 0 %, 0 %, 18 MiB, 28.99 W
2026/06/02 00:58:30.060, 0, 32 %, 21 %, 1802 MiB, 170.32 W
2026/06/02 00:58:30.061, 1, 0 %, 0 %, 18 MiB, 28.99 W
2026/06/02 00:58:31.061, 0, 38 %, 25 %, 1802 MiB, 170.24 W
2026/06/02 00:58:31.062, 1, 0 %, 0 %, 18 MiB, 28.95 W
2026/06/02 00:58:32.063, 0, 39 %, 25 %, 1802 MiB, 170.87 W
2026/06/02 00:58:32.063, 1, 0 %, 0 %, 18 MiB, 28.89 W
2026/06/02 00:58:33.064, 0, 38 %, 25 %, 1802 MiB, 170.66 W
2026/06/02 00:58:33.065, 1, 0 %, 0 %, 18 MiB, 29.08 W
2026/06/02 00:58:34.066, 0, 40 %, 26 %, 1802 MiB, 174.87 W
2026/06/02 00:58:34.066, 1, 0 %, 0 %, 18 MiB, 28.70 W
2026/06/02 00:58:35.067, 0, 37 %, 24 %, 1802 MiB, 168.85 W
2026/06/02 00:58:35.068, 1, 0 %, 0 %, 18 MiB, 29.22 W
2026/06/02 00:58:36.069, 0, 36 %, 24 %, 1802 MiB, 177.02 W
2026/06/02 00:58:36.069, 1, 0 %, 0 %, 18 MiB, 29.11 W
2026/06/02 00:58:37.070, 0, 27 %, 19 %, 1802 MiB, 196.26 W
2026/06/02 00:58:37.071, 1, 0 %, 0 %, 18 MiB, 29.55 W
2026/06/02 00:58:38.071, 0, 38 %, 25 %, 1802 MiB, 190.20 W
2026/06/02 00:58:38.072, 1, 0 %, 0 %, 18 MiB, 29.83 W
2026/06/02 00:58:39.073, 0, 38 %, 25 %, 1802 MiB, 169.23 W
2026/06/02 00:58:39.074, 1, 0 %, 0 %, 18 MiB, 29.40 W
2026/06/02 00:58:40.074, 0, 39 %, 25 %, 1802 MiB, 170.26 W
2026/06/02 00:58:40.075, 1, 0 %, 0 %, 18 MiB, 29.07 W
2026/06/02 00:58:41.076, 0, 33 %, 22 %, 1802 MiB, 171.28 W
2026/06/02 00:58:41.077, 1, 0 %, 0 %, 18 MiB, 29.03 W
2026/06/02 00:58:42.078, 0, 36 %, 25 %, 1802 MiB, 199.79 W
2026/06/02 00:58:42.079, 1, 0 %, 0 %, 18 MiB, 29.24 W
2026/06/02 00:58:43.079, 0, 37 %, 25 %, 1802 MiB, 199.98 W
2026/06/02 00:58:43.080, 1, 0 %, 0 %, 18 MiB, 29.96 W
2026/06/02 00:58:44.081, 0, 32 %, 21 %, 1802 MiB, 174.40 W
2026/06/02 00:58:44.081, 1, 0 %, 0 %, 18 MiB, 30.01 W
2026/06/02 00:58:45.082, 0, 39 %, 25 %, 1802 MiB, 174.13 W
2026/06/02 00:58:45.083, 1, 0 %, 0 %, 18 MiB, 29.37 W
2026/06/02 00:58:46.083, 0, 39 %, 25 %, 1802 MiB, 172.00 W
2026/06/02 00:58:46.084, 1, 0 %, 0 %, 18 MiB, 28.95 W
2026/06/02 00:58:47.085, 0, 39 %, 25 %, 1802 MiB, 171.81 W
2026/06/02 00:58:47.086, 1, 0 %, 0 %, 18 MiB, 28.92 W
2026/06/02 00:58:48.086, 0, 32 %, 21 %, 1802 MiB, 171.52 W
2026/06/02 00:58:48.087, 1, 0 %, 0 %, 18 MiB, 29.01 W
2026/06/02 00:58:49.088, 0, 38 %, 25 %, 1802 MiB, 170.47 W
2026/06/02 00:58:49.088, 1, 0 %, 0 %, 18 MiB, 28.84 W
2026/06/02 00:58:50.089, 0, 39 %, 25 %, 1802 MiB, 170.60 W
2026/06/02 00:58:50.090, 1, 0 %, 0 %, 18 MiB, 29.23 W
2026/06/02 00:58:51.091, 0, 39 %, 25 %, 1802 MiB, 171.05 W
2026/06/02 00:58:51.091, 1, 0 %, 0 %, 18 MiB, 29.05 W
2026/06/02 00:58:52.092, 0, 40 %, 26 %, 1802 MiB, 174.80 W
2026/06/02 00:58:52.093, 1, 0 %, 0 %, 18 MiB, 29.10 W
2026/06/02 00:58:53.094, 0, 38 %, 25 %, 1802 MiB, 175.43 W
2026/06/02 00:58:53.095, 1, 0 %, 0 %, 18 MiB, 29.01 W
2026/06/02 00:58:54.095, 0, 38 %, 25 %, 1802 MiB, 178.96 W
2026/06/02 00:58:54.096, 1, 0 %, 0 %, 18 MiB, 28.95 W
2026/06/02 00:58:55.097, 0, 39 %, 26 %, 1802 MiB, 174.37 W
2026/06/02 00:58:55.097, 1, 0 %, 0 %, 18 MiB, 29.15 W
2026/06/02 00:58:56.098, 0, 39 %, 25 %, 1802 MiB, 175.01 W
2026/06/02 00:58:56.099, 1, 0 %, 0 %, 18 MiB, 29.26 W
2026/06/02 00:58:57.100, 0, 38 %, 25 %, 1802 MiB, 170.43 W
2026/06/02 00:58:57.101, 1, 0 %, 0 %, 18 MiB, 28.56 W
2026/06/02 00:58:58.101, 0, 40 %, 26 %, 1802 MiB, 170.90 W
2026/06/02 00:58:58.102, 1, 0 %, 0 %, 18 MiB, 28.80 W
2026/06/02 00:58:59.103, 0, 31 %, 21 %, 1802 MiB, 171.85 W
2026/06/02 00:58:59.103, 1, 0 %, 0 %, 18 MiB, 28.87 W
2026/06/02 00:59:00.104, 0, 37 %, 26 %, 1802 MiB, 190.95 W
2026/06/02 00:59:00.105, 1, 0 %, 0 %, 18 MiB, 28.89 W
2026/06/02 00:59:01.105, 0, 37 %, 25 %, 1802 MiB, 199.95 W
2026/06/02 00:59:01.107, 1, 0 %, 0 %, 18 MiB, 29.31 W
2026/06/02 00:59:02.107, 0, 41 %, 27 %, 1802 MiB, 191.17 W
2026/06/02 00:59:02.108, 1, 0 %, 0 %, 18 MiB, 29.76 W
2026/06/02 00:59:03.109, 0, 36 %, 24 %, 1802 MiB, 178.21 W
2026/06/02 00:59:03.110, 1, 0 %, 0 %, 18 MiB, 29.17 W
2026/06/02 00:59:04.111, 0, 39 %, 25 %, 1802 MiB, 177.93 W
2026/06/02 00:59:04.111, 1, 0 %, 0 %, 18 MiB, 29.57 W
2026/06/02 00:59:05.112, 0, 39 %, 26 %, 1802 MiB, 171.25 W
2026/06/02 00:59:05.113, 1, 0 %, 0 %, 18 MiB, 29.19 W
2026/06/02 00:59:06.114, 0, 39 %, 26 %, 1802 MiB, 172.35 W
2026/06/02 00:59:06.114, 1, 0 %, 0 %, 18 MiB, 29.05 W
2026/06/02 00:59:07.115, 0, 39 %, 26 %, 1802 MiB, 171.87 W
2026/06/02 00:59:07.116, 1, 0 %, 0 %, 18 MiB, 28.93 W
2026/06/02 00:59:08.116, 0, 42 %, 27 %, 1802 MiB, 175.10 W
2026/06/02 00:59:08.117, 1, 0 %, 0 %, 18 MiB, 28.99 W
2026/06/02 00:59:09.118, 0, 37 %, 25 %, 1802 MiB, 199.24 W
2026/06/02 00:59:09.118, 1, 0 %, 0 %, 18 MiB, 29.64 W
2026/06/02 00:59:10.119, 0, 40 %, 27 %, 1802 MiB, 201.81 W
2026/06/02 00:59:10.120, 1, 0 %, 0 %, 18 MiB, 30.37 W
2026/06/02 00:59:11.121, 0, 37 %, 25 %, 1802 MiB, 188.74 W
2026/06/02 00:59:11.121, 1, 0 %, 0 %, 18 MiB, 29.34 W
2026/06/02 00:59:12.122, 0, 38 %, 25 %, 1802 MiB, 173.74 W
2026/06/02 00:59:12.123, 1, 0 %, 0 %, 18 MiB, 29.32 W
2026/06/02 00:59:13.124, 0, 38 %, 25 %, 1802 MiB, 171.57 W
2026/06/02 00:59:13.124, 1, 0 %, 0 %, 18 MiB, 29.00 W
2026/06/02 00:59:14.125, 0, 31 %, 20 %, 1802 MiB, 171.80 W
2026/06/02 00:59:14.126, 1, 0 %, 0 %, 18 MiB, 28.93 W
2026/06/02 00:59:15.127, 0, 38 %, 25 %, 1802 MiB, 174.51 W
2026/06/02 00:59:15.128, 1, 0 %, 0 %, 18 MiB, 28.99 W
2026/06/02 00:59:16.128, 0, 39 %, 25 %, 1802 MiB, 171.65 W
2026/06/02 00:59:16.129, 1, 0 %, 0 %, 18 MiB, 29.28 W
2026/06/02 00:59:17.130, 0, 39 %, 25 %, 1802 MiB, 171.27 W
2026/06/02 00:59:17.131, 1, 0 %, 0 %, 18 MiB, 28.80 W
2026/06/02 00:59:18.132, 0, 32 %, 21 %, 1802 MiB, 172.11 W
2026/06/02 00:59:18.132, 1, 0 %, 0 %, 18 MiB, 29.28 W
2026/06/02 00:59:19.133, 0, 36 %, 25 %, 1802 MiB, 208.03 W
2026/06/02 00:59:19.134, 1, 0 %, 0 %, 18 MiB, 29.54 W
2026/06/02 00:59:20.134, 0, 36 %, 25 %, 1802 MiB, 199.66 W
2026/06/02 00:59:20.135, 1, 0 %, 0 %, 18 MiB, 30.05 W
2026/06/02 00:59:21.136, 0, 38 %, 25 %, 1802 MiB, 172.40 W
2026/06/02 00:59:21.136, 1, 0 %, 0 %, 18 MiB, 29.70 W
2026/06/02 00:59:22.137, 0, 39 %, 26 %, 1802 MiB, 172.10 W
2026/06/02 00:59:22.138, 1, 0 %, 0 %, 18 MiB, 29.23 W
2026/06/02 00:59:23.139, 0, 36 %, 24 %, 1802 MiB, 166.88 W
2026/06/02 00:59:23.140, 1, 0 %, 0 %, 18 MiB, 29.07 W
2026/06/02 00:59:24.140, 0, 37 %, 25 %, 1802 MiB, 167.94 W
2026/06/02 00:59:24.141, 1, 0 %, 0 %, 18 MiB, 29.40 W
2026/06/02 00:59:25.142, 0, 31 %, 21 %, 1802 MiB, 171.41 W
2026/06/02 00:59:25.143, 1, 0 %, 0 %, 18 MiB, 29.38 W
2026/06/02 00:59:26.144, 0, 39 %, 26 %, 1802 MiB, 175.02 W
2026/06/02 00:59:26.144, 1, 0 %, 0 %, 18 MiB, 28.78 W
2026/06/02 00:59:27.145, 0, 39 %, 26 %, 1802 MiB, 171.86 W
2026/06/02 00:59:27.146, 1, 0 %, 0 %, 18 MiB, 29.03 W
2026/06/02 00:59:28.147, 0, 38 %, 25 %, 1802 MiB, 170.66 W
2026/06/02 00:59:28.147, 1, 0 %, 0 %, 18 MiB, 29.03 W
