timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/06/01 19:11:23.948, 0, 0 %, 0 %, 166 MiB, 33.83 W
2026/06/01 19:11:23.948, 1, 0 %, 0 %, 18 MiB, 29.17 W
2026/06/01 19:11:24.949, 0, 0 %, 0 %, 166 MiB, 33.83 W
2026/06/01 19:11:24.950, 1, 0 %, 0 %, 18 MiB, 29.16 W
2026/06/01 19:11:25.950, 0, 0 %, 0 %, 562 MiB, 49.09 W
2026/06/01 19:11:25.951, 1, 0 %, 0 %, 18 MiB, 29.13 W
2026/06/01 19:11:26.952, 0, 6 %, 0 %, 688 MiB, 77.49 W
2026/06/01 19:11:26.953, 1, 0 %, 0 %, 18 MiB, 29.18 W
2026/06/01 19:11:27.953, 0, 6 %, 0 %, 688 MiB, 79.94 W
2026/06/01 19:11:27.954, 1, 0 %, 0 %, 18 MiB, 29.09 W
2026/06/01 19:11:28.954, 0, 6 %, 0 %, 688 MiB, 81.33 W
2026/06/01 19:11:28.955, 1, 0 %, 0 %, 18 MiB, 28.95 W
2026/06/01 19:11:29.957, 0, 7 %, 0 %, 688 MiB, 81.12 W
2026/06/01 19:11:29.957, 1, 0 %, 0 %, 18 MiB, 28.70 W
2026/06/01 19:11:30.958, 0, 7 %, 0 %, 688 MiB, 81.21 W
2026/06/01 19:11:30.959, 1, 0 %, 0 %, 18 MiB, 28.66 W
2026/06/01 19:11:31.960, 0, 6 %, 0 %, 688 MiB, 81.15 W
2026/06/01 19:11:31.961, 1, 0 %, 0 %, 18 MiB, 28.86 W
2026/06/01 19:11:32.961, 0, 7 %, 0 %, 688 MiB, 81.34 W
2026/06/01 19:11:32.962, 1, 0 %, 0 %, 18 MiB, 28.93 W
2026/06/01 19:11:33.963, 0, 6 %, 0 %, 688 MiB, 80.89 W
2026/06/01 19:11:33.963, 1, 0 %, 0 %, 18 MiB, 28.86 W
2026/06/01 19:11:34.964, 0, 6 %, 0 %, 688 MiB, 82.05 W
2026/06/01 19:11:34.965, 1, 0 %, 0 %, 18 MiB, 28.89 W
2026/06/01 19:11:35.966, 0, 7 %, 0 %, 688 MiB, 82.24 W
2026/06/01 19:11:35.967, 1, 0 %, 0 %, 18 MiB, 28.84 W
2026/06/01 19:11:36.967, 0, 6 %, 0 %, 688 MiB, 82.04 W
