step,loss_total,loss_action,loss_latent,step_time_s,samples_per_s
1,0.4156498610973358,0.3827660083770752,0.03288386017084122,0.004355445504188538,29388.497658139717
2,0.21636962890625,0.1812867820262909,0.0350828543305397,0.0034055840224027634,37585.33019828163
3,0.13971805572509766,0.10239856690168381,0.03731948882341385,0.002871032804250717,44583.25931019986
4,0.1024734303355217,0.06454198062419891,0.037931449711322784,0.002896670252084732,44188.66797416049
5,0.10433526337146759,0.06724604964256287,0.03708921745419502,0.002936415374279022,43590.563215678514
6,0.09782157093286514,0.0645851194858551,0.03323645144701004,0.0030001364648342133,42664.72592175011
7,0.08804156631231308,0.05770398676395416,0.030337577685713768,0.0029437486082315445,43481.97384860793
8,0.07889683544635773,0.05295500531792641,0.02594183199107647,0.002966802567243576,43144.09102015959
9,0.08544476330280304,0.05939044803380966,0.02605431340634823,0.002684749662876129,47676.69841622241
10,0.08588352799415588,0.06391595304012299,0.02196757309138775,0.00261601060628891,48929.465229340814
11,0.06547565013170242,0.04365719482302666,0.021818453446030617,0.002587847411632538,49461.95800595966
12,0.06517290323972702,0.0445050448179245,0.02066785655915737,0.0026027951389551163,49177.9003596054
13,0.05791529268026352,0.039365679025650024,0.018549611791968346,0.0025880280882120132,49458.50494552829
14,0.05571161210536957,0.03772466629743576,0.017986943945288658,0.0025589633733034134,50020.25481699741
15,0.05179766193032265,0.03477384150028229,0.01702382043004036,0.0025768764317035675,49672.54092016336
16,0.04745767265558243,0.03070787526667118,0.016749799251556396,0.0025766845792531967,49676.23939329756
17,0.046521373093128204,0.03035065159201622,0.016170719638466835,0.0025596339255571365,50007.15091402736
18,0.03883994370698929,0.0245960745960474,0.014243868179619312,0.0025726910680532455,49753.35033011078
19,0.03833984583616257,0.026084795594215393,0.012255050241947174,0.00255606509745121,50076.97187666922
20,0.03161642700433731,0.020402830094099045,0.011213598772883415,0.0025612879544496536,49974.85728913424
21,0.029827402904629707,0.01935834437608719,0.010469058528542519,0.0025702137500047684,49801.30543607999
22,0.026956787332892418,0.01678835228085518,0.010168435052037239,0.002557983621954918,50039.41342758757
23,0.026602406054735184,0.016947153955698013,0.00965525209903717,0.0025595948100090027,50007.915119795776
24,0.02560402825474739,0.01657228171825409,0.009031747467815876,0.002561936154961586,49962.21305207321
25,0.024982385337352753,0.016215138137340546,0.008767247200012207,0.002528427168726921,50624.35714312024
